SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PR,78271,RONCADOR,0,40,1752,66,5,1729,0,0,0,20,0,2,1362,41,0,0,18,0,1,1,0,582,23,0,542,0,2,85,0,1942,9451,250,7509,170
PR,78298,RONDON,2,38,28,1556,1,918,0,4,1,28,0,1,25,1766,0,0,0,0,113,5,0,2,2,2,344,0,1,0,6,945,6726,258,5781,123
PR,78310,SABÁUDIA,0,117,6,23,2,2525,0,1,0,34,0,6,33,367,0,0,0,0,1,2,1,5,13,0,16,0,0,7,0,344,4145,244,3801,103
PR,78336,SALGADO FILHO,6,5,134,391,1,619,0,0,0,1,0,0,29,274,0,0,0,0,3,1,0,1,5,0,992,0,0,5,0,651,3547,114,2896,51
PR,78352,SALTO DO ITARARÉ,0,16,11,70,6,2364,0,0,0,3,0,2,14,40,0,0,0,0,18,3,0,0,44,0,32,1,0,0,0,619,3996,206,3377,111
PR,78379,SALTO DO LONTRA,1,9,1147,837,0,1297,0,1,1,7,0,1,63,179,0,0,0,0,0,41,0,8,3,0,3056,0,1,10,0,1649,9353,288,7704,112
PR,78395,SANTA AMÉLIA,1,7,14,336,5,1732,0,0,0,1,0,0,3,25,0,10,0,0,0,1,0,7,0,0,118,0,0,0,1,650,3405,113,2755,63
PR,78417,SANTA CECÍLIA DO PAVÃO,6,52,4,116,7,1878,1,1,0,6,0,1,9,6,0,1,0,0,0,0,0,3,4,0,17,1,1,1,2,642,3164,55,2522,65
PR,78433,SANTA CRUZ DO MONTE CASTELO,1,7,20,436,2,566,0,875,0,8,0,0,1,38,0,0,0,0,3,6,0,3,1,0,2172,0,0,0,0,949,5839,122,4890,100
PR,78450,SANTA FÉ,2,267,85,429,1,1857,0,1,0,155,0,6,57,912,0,1,2,0,18,64,0,45,19,0,736,0,0,1,4,810,6606,369,5796,217
PR,78476,SANTA INÊS,1,1,3,69,1,1010,0,7,0,0,0,90,3,18,0,0,0,0,1,0,0,0,2,0,10,0,0,0,0,285,1687,32,1402,11
PR,78492,SANTA ISABEL DO IVAÍ,2,12,11,286,0,1670,0,727,0,24,0,0,22,17,0,1,0,0,0,8,0,8,11,0,1763,0,0,0,0,1193,6666,224,5473,154
PR,78514,SANTA IZABEL DO OESTE,16,10,1191,619,1,1588,1,0,1,27,0,36,75,198,0,0,0,0,0,9,0,5,24,0,1331,0,15,11,0,1173,7498,428,6325,147
PR,78530,SANTA MARIANA,31,268,32,595,4,4836,0,0,6,145,0,5,226,98,0,125,0,0,19,1,0,29,9,0,121,2,0,11,0,1779,9739,384,7960,229
