SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,63231,CATANDUVA,11821,30,297,19,16,174,10,12766,668,34751,1012,17102,85587,3037,68485,3884
SP,63258,CATIGUÁ,930,0,33,1,0,7,0,768,32,2538,34,882,5781,243,4899,313
SP,63274,CEDRAL,980,1,22,0,1,29,1,786,18,3086,53,1152,6684,273,5532,282
SP,63290,CERQUEIRA CÉSAR,2125,3,58,2,1,27,2,1980,64,5244,133,3451,14129,627,10678,412
SP,63312,CERQUILHO,3065,15,93,6,13,96,3,4485,245,13932,356,5716,30777,1221,25061,1531
SP,63339,CESÁRIO LANGE,1088,2,25,1,4,23,1,1725,46,5175,56,2487,11725,562,9238,530
SP,63355,CHARQUEADA,1619,4,75,1,8,20,1,2039,143,5218,72,2376,12516,527,10140,413
SP,63371,CHAVANTES,1843,3,27,7,0,16,0,1577,59,3376,72,2070,9713,338,7643,325
SP,63398,CLEMENTINA,1017,0,19,1,2,7,0,694,20,2034,33,1106,5263,169,4157,161
SP,63410,COLINA,3032,8,55,4,2,28,0,1420,61,5369,72,3441,14552,535,11111,525
SP,63436,COLÔMBIA,1343,0,17,1,0,7,0,1134,16,1423,45,1448,5725,149,4277,142
SP,63452,CONCHAL,2544,6,57,7,0,37,0,3435,67,8607,124,3746,20179,864,16433,685
