,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS_NOMINAIS ELEITO
125,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33529,BANZAÊ,BA,4645
126,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33537,BARRA,BA,17602
127,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33553,BARRA DA ESTIVA,BA,9055
128,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33570,BARRA DO CHOÇA,BA,11674
129,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33596,BARRA DO MENDES,BA,5491
130,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33618,BARRA DO ROCHA,BA,1776
131,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33634,BARREIRAS,BA,30346
132,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33650,BARRO PRETO,BA,2098
133,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33677,BELMONTE,BA,5882
134,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33693,BELO CAMPO,BA,4800
135,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33715,BIRITINGA,BA,6785
136,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33731,BOA NOVA,BA,5408
137,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33758,BOA VISTA DO TUPIM,BA,4958
138,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33774,BOM JESUS DA LAPA,BA,20492
139,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33782,BOM JESUS DA SERRA,BA,4156
140,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33790,BONINAL,BA,4612
141,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33804,BONITO,BA,5918
142,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33812,BOQUIRA,BA,8452
143,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33839,BOTUPORÃ,BA,4602
144,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33855,BREJÕES,BA,4648
145,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33871,BREJOLÂNDIA,BA,1748
146,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33898,BROTAS DE MACAÚBAS,BA,4402
147,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33910,BRUMADO,BA,16179
148,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33936,BUERAREMA,BA,2369
149,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33952,CAATIBA,BA,2818
150,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33960,CABACEIRAS DO PARAGUAÇU,BA,6556
151,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33979,CACHOEIRA,BA,11842
152,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,33995,CACULÉ,BA,5835
153,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34010,CAEM,BA,3744
154,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34029,CAETANOS,BA,5771
155,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34037,CAETITÉ,BA,16106
156,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34053,CAFARNAUM,BA,5666
157,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34070,CAIRU,BA,4841
158,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34096,CALDEIRÃO GRANDE,BA,5266
159,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34118,CAMACÃ,BA,5505
160,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34134,CAMAÇARI,BA,54623
161,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34150,CAMAMU,BA,7858
162,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34177,CAMPO ALEGRE DE LOURDES,BA,11200
163,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34193,CAMPO FORMOSO,BA,22887
164,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34215,CANÁPOLIS,BA,3846
165,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34231,CANARANA,BA,8079
166,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34258,CANAVIEIRAS,BA,8145
167,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34274,CANDEAL,BA,3455
168,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34290,CANDEIAS,BA,29399
169,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34312,CANDIBA,BA,5479
170,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34339,CÂNDIDO SALES,BA,8398
171,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34355,CANSANÇÃO,BA,13673
172,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34363,CARAÍBAS,BA,4095
173,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34371,CARAVELAS,BA,4882
174,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34398,CARDEAL DA SILVA,BA,3186
175,ANGELO MARIO CORONEL DE AZEVEDO MARTINS,ANGELO CORONEL,55,Partido Social Democrático,PSD,34410,CARINHANHA,BA,10029
