STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_MDB_15,VOTES_PSTU_16,VOTES_CHALLENGER,VOTES_REDE_18,VOTES_PODE_19,VOTES_DC_27,VOTES_NOVO_30,VOTES_PSDB_45,VOTES_PSOL_50,VOTES_PATRI_51,VOTES_PPL_54,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
RS,86711,GAURAMA,241,881,68,0,2700,13,41,0,64,216,14,5,1,562,5074,4512,130,138
RS,86720,GARRUCHOS,334,877,21,0,610,5,10,1,37,76,2,7,0,581,2647,2066,49,37
RS,86738,GENERAL CÂMARA,452,1554,83,3,2167,29,19,0,98,270,16,20,0,789,5842,5053,187,155
RS,86746,GENTIL,97,249,11,0,779,3,27,0,14,48,1,6,0,234,1535,1301,33,33
RS,86754,SÃO VICENTE DO SUL,553,1812,85,1,2214,29,47,4,55,319,14,31,0,1828,7371,5543,232,147
RS,86762,GRAMADO DOS LOUREIROS,170,832,14,0,436,2,10,0,58,88,3,7,0,339,2056,1717,43,54
RS,86770,GETÚLIO VARGAS,551,1879,221,4,6459,28,86,2,367,516,13,26,2,2485,13325,10840,319,367
RS,86789,GRAMADO XAVIER,199,1057,50,0,785,5,20,1,40,203,3,6,0,365,2854,2489,87,33
RS,86797,GIRUÁ,1274,2674,148,3,5503,22,63,1,95,392,28,44,2,1663,12395,10732,236,247
RS,86800,HULHA NEGRA,333,1910,39,3,1132,14,8,1,17,199,14,19,0,671,4606,3935,116,130
RS,86819,GRAMADO,1783,1898,464,5,16265,121,171,7,1474,1277,69,91,7,6092,31328,25236,729,875
RS,86827,INHACORÁ,121,646,23,0,599,0,26,0,17,63,0,9,0,404,2006,1602,54,44
RS,86835,GRAVATAÍ,17265,19080,3638,135,82551,1449,917,42,3934,6840,1118,1047,62,38355,189392,151037,6781,6178
RS,86843,ITAPUCA,65,461,19,0,676,0,10,0,16,85,3,1,0,360,1843,1483,90,57
RS,86851,GUAÍBA,7644,11775,1077,29,27021,673,335,20,1518,3086,462,511,24,14757,74072,59315,2722,2418
RS,86860,LAJEADO DO BUGRE,145,705,12,0,403,0,3,0,5,72,2,8,0,329,1788,1459,54,50
RS,86878,GUAPORÉ,1086,1878,293,2,10120,48,132,2,525,548,40,65,4,1864,17599,15735,516,476
RS,86886,LAGOA DOS TRÊS CANTOS,58,195,11,2,820,2,8,0,55,96,3,2,0,211,1541,1330,35,43
RS,86894,GUARANI DAS MISSÕES,406,1729,103,1,2306,11,19,3,49,230,16,19,2,518,5756,5238,172,172
RS,86908,LINDOLFO COLLOR,187,1234,59,1,1753,17,18,0,81,136,13,19,1,461,4367,3906,119,268
