STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
MG,44318,DIAMANTINA,16023,8887,9689,35812,26123,333,880
MG,44334,DIOGO DE VASCONCELOS,2058,667,958,3806,2848,24,99
MG,44350,DIONÍSIO,3220,1286,2521,7279,4758,100,152
MG,44377,DIVINÉSIA,1559,1259,524,3447,2923,35,70
MG,44393,DIVINO,7445,3241,3852,14951,11099,124,289
MG,44415,DIVINO DAS LARANJEIRAS,1698,1259,1156,4251,3095,40,98
MG,44431,DIVINOLÂNDIA DE MINAS,2505,1415,1944,6083,4139,46,173
MG,44458,DIVINÓPOLIS,70325,56409,16409,152058,135649,2365,6550
MG,44474,DIVISA NOVA,1989,1670,898,4679,3781,40,82
MG,44490,DOM CAVATI,1793,1914,1001,4835,3834,38,89
MG,44512,DOM JOAQUIM,1676,963,962,3745,2783,42,102
MG,44539,DOM SILVÉRIO,2083,1279,875,4430,3555,46,147
MG,44555,DOM VIÇOSO,759,1463,398,2679,2281,21,38
MG,44571,DONA EUSÉBIA,2911,1276,785,5120,4335,56,92
MG,44598,DORES DE CAMPOS,2595,3306,884,7355,6471,181,389
MG,44610,DORES DE GUANHÃES,2628,778,1328,4881,3553,33,114
MG,44636,DORES DO INDAIÁ,2891,5071,2978,11275,8297,114,221
MG,44652,DORES DO TURVO,2104,1328,976,4571,3595,43,120
MG,44679,DORESÓPOLIS,530,697,446,1734,1288,21,40
MG,44695,DOURADOQUARA,819,651,400,1917,1517,14,33
MG,44717,ELÓI MENDES,5288,10164,2972,19020,16048,215,381
MG,44733,ENGENHEIRO CALDAS,2820,2735,1698,7534,5836,96,185
MG,44750,ENGENHEIRO NAVARRO,3266,760,1636,5860,4224,50,148
MG,44776,ENTRE RIOS DE MINAS,4448,4606,1908,11465,9557,139,364
MG,44792,ERVÁLIA,8064,3787,3292,15904,12612,302,459
MG,44814,ESMERALDAS,18358,12720,8849,41442,32593,526,989
MG,44830,ESPERA FELIZ,8531,3455,2905,15534,12629,202,441
MG,44857,ESPINOSA,12122,4157,8456,25305,16849,174,396
MG,44873,ESPÍRITO SANTO DO DOURADO,1053,2491,540,4235,3695,55,96
MG,44890,ESTIVA,2756,4301,1338,8756,7418,108,253
MG,44911,ESTRELA DALVA,1280,526,702,2601,1899,21,72
MG,44938,ESTRELA DO INDAIÁ,703,1371,892,3075,2183,38,71
MG,44954,ESTRELA DO SUL,2984,1335,1473,5964,4491,61,111
MG,44970,EUGENÓPOLIS,4101,2273,1668,8318,6650,85,191
MG,44997,EWBANK DA CÂMARA,2213,658,690,3677,2987,30,86
