STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
PE,25038,PANELAS,156,6095,7,3,8,43,5443,88,5616,19734,14118,253,2030
PE,25054,PARANATAMA,79,5225,4,4,0,11,540,36,999,7846,6847,224,724
PE,25070,PARNAMIRIM,116,8820,3,9,2,8,1502,114,2852,14633,11781,306,903
PE,25097,PASSIRA,229,11210,17,5,1,33,2801,199,5339,22733,17394,904,1996
PE,25119,PAUDALHO,287,11647,24,8,3,26,9552,518,4899,30653,25754,1389,2303
PE,25135,PAULISTA,2970,97012,270,55,13,100,28790,9228,24534,174476,149942,5130,6387
PE,25151,PEDRA,234,8081,11,2,2,13,1804,162,3667,16045,12378,504,1567
PE,25178,PESQUEIRA,540,24471,22,75,2,44,4507,490,10220,44571,34351,1182,3020
PE,25194,PETROLÂNDIA,149,12508,37,2,1,13,2074,275,4030,20600,16570,348,1164
PE,25216,PETROLINA,2265,80457,74,28,18,84,22607,3523,24162,144394,120232,3184,8010
PE,25232,POÇÃO,99,4296,5,6,2,18,1239,69,1522,8464,6942,294,916
PE,25259,POMBOS,145,8272,9,1,1,8,2938,165,1516,15182,13666,841,1287
PE,25275,PRIMAVERA,65,4244,4,0,1,4,1523,206,1897,8890,6993,333,614
PE,25291,QUIPAPÁ,150,7124,10,3,3,27,1516,154,5564,16642,11078,449,1645
PE,25313,RECIFE,34290,518634,2486,520,130,584,227913,58750,158727,1075408,916681,31728,41776
PE,25330,RIACHO DAS ALMAS,141,7664,3,14,1,25,1868,110,1420,13496,12076,780,1471
PE,25356,RIBEIRÃO,270,15907,20,70,0,13,3146,507,8084,30391,22307,627,1747
PE,25372,RIO FORMOSO,102,8243,8,4,2,8,2699,199,4496,17119,12623,322,1038
PE,25399,SAIRÉ,113,5235,5,3,2,10,1196,105,1185,9465,8280,579,1034
PE,25410,SALGADINHO,34,2099,2,0,0,11,1234,44,756,5004,4248,151,673
PE,25437,SALGUEIRO,336,16749,14,8,4,51,7017,462,6926,34329,27403,640,2126
PE,25453,SALOÁ,126,6065,4,2,0,11,1094,61,2965,11806,8841,369,1109
PE,25470,SANHARÓ,128,7980,5,4,2,5,1176,130,1509,12528,11019,254,1337
PE,25496,SANTA CRUZ DO CAPIBARIBE,384,19003,25,138,5,20,12019,1042,5860,42624,36764,1734,2399
PE,25518,SANTA MARIA DA BOA VISTA,135,14401,17,0,0,16,2736,110,4486,23798,19312,230,1667
PE,25534,SANTA MARIA DO CAMBUCÁ,74,4195,1,7,1,19,1933,110,1125,8714,7589,326,924
PE,25550,SANTA TEREZINHA,64,4009,2,0,0,10,986,108,1906,7805,5899,69,651
PE,25577,SÃO BENEDITO DO SUL,67,2668,6,2,0,16,1104,46,2493,7480,4987,207,871
PE,25593,SÃO BENTO DO UNA,278,15329,11,8,1,31,4031,259,7142,30865,23723,1074,2702
PE,25615,SÃO CAITANO,250,11903,38,34,3,68,3819,328,5215,25910,20695,1583,2672
PE,25631,SÃO JOÃO,111,9142,12,1,0,17,768,92,3413,15181,11768,259,1366
PE,25658,SÃO JOAQUIM DO MONTE,224,8772,4,1,1,25,1548,188,3561,16280,12719,440,1517
PE,25674,SÃO JOSÉ DA COROA GRANDE,99,5176,6,2,1,13,1918,158,1493,10016,8523,425,726
PE,25690,SÃO JOSÉ DO BELMONTE,226,12197,7,6,1,35,2493,139,6838,24224,17386,426,1857
PE,25712,SÃO JOSÉ DO EGITO,207,11108,11,5,1,38,2617,199,5519,22169,16650,644,1821
PE,25739,SÃO LOURENÇO DA MATA,699,33386,59,31,5,55,12592,2248,10838,66341,55503,2712,3721
PE,25755,SÃO VICENTE FERRER,124,6241,2,1,0,24,1597,85,3122,12783,9661,314,1273
PE,25771,SERRA TALHADA,516,30104,23,8,4,32,3602,610,11923,51276,39353,877,3581
PE,25798,SERRITA,108,5970,5,4,3,7,2265,148,2965,13120,10155,180,1468
PE,25810,SERTÂNIA,200,11535,9,6,3,49,3929,261,6743,25480,18737,603,2145
PE,25836,SIRINHAÉM,130,13372,77,3,3,29,4094,312,6136,26541,20405,550,1838
PE,25852,MOREILÂNDIA,99,4868,3,1,0,9,650,70,2328,8941,6613,130,783
PE,25879,SOLIDÃO,43,2699,0,0,0,4,258,46,672,4224,3552,83,419
PE,25895,SURUBIM,349,17929,20,32,1,36,6542,490,7546,36926,29380,1654,2328
PE,25917,TABIRA,158,10817,4,6,4,18,1383,149,4251,18751,14500,490,1475
PE,25933,TACAIMBÓ,87,4599,4,32,2,9,1533,103,2218,9911,7693,408,918
PE,25950,TACARATU,130,5499,1,0,1,7,1503,244,2924,11787,8863,292,1187
PE,25976,ITAMBÉ,187,10839,14,5,2,14,3926,212,5269,22623,17354,498,1659
PE,25992,TAQUARITINGA DO NORTE,151,6720,5,25,1,18,4225,329,2357,15644,13287,603,1211
PE,26018,TEREZINHA,49,2871,3,2,1,8,657,29,852,5342,4490,154,717
